id	id_3char	name
namaf	maf	SAINT MARTIN (FRENCH PART)
naspm	spm	SAINT PIERRE AND MIQUELON
navct	vct	SAINT VINCENT AND THE GRENADINES
ocwsm	wsm	SAMOA
eusmr	smr	SAN MARINO
afstp	stp	SAO TOME AND PRINCIPE
assau	sau	SAUDI ARABIA
afsen	sen	SENEGAL
eusrb	srb	SERBIA
afsyc	syc	SEYCHELLES
afsle	sle	SIERRA LEONE
assgp	sgp	SINGAPORE
eusvk	svk	SLOVAKIA
eusvn	svn	SLOVENIA
ocslb	slb	SOLOMON ISLANDS
afsom	som	SOMALIA
afzaf	zaf	SOUTH AFRICA
ansgs	sgs	SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
afssd	ssd	SOUTH SUDAN
euesp	esp	SPAIN
aslka	lka	SRI LANKA
afsdn	sdn	SUDAN
sasur	sur	SURINAME
eusjm	sjm	SVALBARD AND JAN MAYEN
afswz	swz	SWAZILAND
euswe	swe	SWEDEN
euche	che	SWITZERLAND
assyr	syr	SYRIAN ARAB REPUBLIC
astwn	twn	TAIWAN
astjk	tjk	TAJIKISTAN
aftza	tza	"TANZANIA, UNITED REPUBLIC OF"
astha	tha	THAILAND
astls	tls	TIMOR-LESTE
aftgo	tgo	TOGO
octkl	tkl	TOKELAU
octon	ton	TONGA
natto	tto	TRINIDAD AND TOBAGO
aftun	tun	TUNISIA
astur	tur	TURKEY
astkm	tkm	TURKMENISTAN
natca	tca	TURKS AND CAICOS ISLANDS
octuv	tuv	TUVALU
afuga	uga	UGANDA
euukr	ukr	UKRAINE
asare	are	UNITED ARAB EMIRATES
eugbr	gbr	UNITED KINGDOM
nausa	usa	UNITED STATES
naumi	umi	UNITED STATES MINOR OUTLYING ISLANDS
saury	ury	URUGUAY
asuzb	uzb	UZBEKISTAN
ocvut	vut	VANUATU
saven	ven	"VENEZUELA, BOLIVARIAN REPUBLIC OF"
asvnm	vnm	VIET NAM
navir	vir	"VIRGIN ISLANDS, BRITISH"
ocwlf	wlf	WALLIS AND FUTUNA
afesh	esh	WESTERN SAHARA
asyem	yem	YEMEN
afzmb	zmb	ZAMBIA
afzwe	zwe	ZIMBABWE
